,SM300-Efficiency_filenames,SM300-Efficiency_importance,SM300-Efficiency_original_index,SM300-Rate_filenames,SM300-Rate_importance,SM300-Rate_original_index,SM300-Lag_filenames,SM300-Lag_importance,SM300-Lag_original_index,SM300-AUC_filenames,SM300-AUC_importance,SM300-AUC_original_index,SM60-Efficiency_filenames,SM60-Efficiency_importance,SM60-Efficiency_original_index,SM60-Rate_filenames,SM60-Rate_importance,SM60-Rate_original_index,SM60-Lag_filenames,SM60-Lag_importance,SM60-Lag_original_index,SM60-AUC_filenames,SM60-AUC_importance,SM60-AUC_original_index,Ratio-Efficiency_filenames,Ratio-Efficiency_importance,Ratio-Efficiency_original_index,Ratio-Rate_filenames,Ratio-Rate_importance,Ratio-Rate_original_index,Ratio-Lag_filenames,Ratio-Lag_importance,Ratio-Lag_original_index,Ratio-AUC_filenames,Ratio-AUC_importance,Ratio-AUC_original_index
29,YJL027C,0.0183948429870461,348,YHR061C,-0.0,655,YOL059W,0.0699800272564186,383,YOR182C,0.2103969201944484,392,YFL025C,0.0196297198667543,513,YCR106W,-0.0,2029,YGL208W,0.0800689988551706,304,YHR032W,0.0904595367880637,163,YKR002W,0.0309452828400837,343,YBR197C,0.0,539,YBR197C,0.0,139,YHR061C,0.0,272
30,YOR178C,0.0183902028667576,1105,YHR011W,0.0,347,YKR032W,0.0633438023472835,104,YGR023W,0.1982454510787885,2067,YDL210W,0.0189185974026056,544,YCR106W,0.0,2029,YOR053W,0.0783531370634328,77,YPR156C,0.0856456198545157,512,YKL164C,0.0298886973145211,635,YBR197C,-0.0,539,YBR197C,-0.0,290,YHR061C,0.0,327
31,YHR077C,0.0183592115727802,364,YHR011W,-0.0,334,YMR168C,0.0623684856924201,1004,YML131W,0.1901774122029114,635,YJL076W,0.0187834981125075,629,YCR106W,0.0,2417,YBR049C,0.0744217994720938,71,YIL169C,0.0794342633029544,1143,YDR534C,0.0297431509359361,1662,YBR197C,-0.0,539,YBR197C,-0.0,139,YHR061C,0.0,327
32,YNL169C,0.0183335435538238,1424,YGR213C,0.0,50,YBR289W,0.0614032220002829,598,YGR159C,0.1889897632710775,465,YCL037C,0.0187622551915782,860,YCR106W,-0.0,2417,YJL216C,0.0714737748836961,1487,YGL032C,0.0721942393378297,258,YOR104W,0.0296211489454084,659,YBR197C,-0.0,539,YBR197C,0.0,139,YHR061C,-0.0,327
33,YBR297W,0.0177866304246988,1450,YHR011W,-0.0,334,YER094C,0.0613161756147141,56,YNR066C,0.1844074291097376,231,YHR027C,0.018501963908851,1889,YCR106W,-0.0,2470,YKR036C,0.0619264852900627,923,YIL123W,0.0543432991220343,1538,YNL164C,0.0296043527748416,862,YBR197C,0.0,539,YBR197C,-0.0,158,YHR061C,-0.0,462
34,YNL094W,0.0177225459024618,1013,YHR011W,0.0,334,YER137C,0.0598331287099424,309,YLR255C,0.1758189953839809,206,YOR181W,0.0183841510662528,20,YCR106W,0.0,2470,YOR143C,0.0569510290721134,283,YOL026C,0.0538476984489932,164,YGL177W,0.0294416221211725,24,YBR197C,0.0,544,YBR197C,0.0,158,YHR061C,0.0,462
35,YFR020W,0.0176541836437263,615,YHR011W,0.0,274,YBL018C,0.0543642578908819,291,YAR050W,0.1752152956592396,5006,YER144C,0.0180464340835543,41,YCR106W,-0.0,2470,YIR006C,0.0558221553742975,1939,YMR292W,0.0536428927682618,214,YJL202C,0.0293159791409791,344,YBR197C,-0.0,544,YBR197C,-0.0,158,YHR061C,0.0,462
36,YOL078W,0.0175146951176067,609,YHR011W,-0.0,274,YJL095W,0.0510604456347329,658,YDR020C,0.1650773742076798,161,YNL280C,0.0180434085539192,902,YCR106W,0.0,2470,YJR139C,0.045203267435067,936,YLL008W,0.0515867005687545,614,YMR173W,0.0286700515738926,677,YBR197C,-0.0,544,YBR197C,-0.0,290,YHR061C,0.0,585
37,YNR066C,0.0174724749851646,231,YHR011W,0.0,274,YMR127C,0.0424965377509373,546,YBR112C,0.1645797802975646,2065,YPR194C,0.0177207694436763,1462,YBR197C,-0.0,422,YNL114C,0.0419211371905495,328,YOR346W,0.0512914857529819,2184,YDL039C,0.0286597325443158,730,YHR011W,-0.0,1127,YBR197C,0.0,290,YOL021C,0.0,672
38,YKR029C,0.0165564229061415,1286,YHR011W,-0.0,192,YOL129W,0.0421107342585772,137,YOR284W,0.1637499098271883,322,YNL175C,0.0177045861789882,673,YBR197C,0.0,422,YKL136W,0.0405304894583009,242,YGL164C,0.0318588886220458,1133,YOL108C,0.0283238325431021,35,YHR011W,0.0,233,YHR011W,-0.0,1124,YOL021C,0.0,686
39,YDR497C,0.0156488357549253,1631,YHR011W,0.0,192,YKR058W,0.0374827436711434,572,YDR305C,0.1305604511131179,9,YCR045C,0.01755824577686,887,YBR197C,0.0,422,YBR291C,0.040417207751499,288,YAR028W,0.0222443654245453,613,YJR162C,0.0281212202946227,235,YHR011W,-0.0,233,YHR011W,0.0,1124,YGR213C,0.0,714
40,YDR173C,0.015305409944511,1006,YHR011W,-0.0,192,YJL060W,0.0292679321415475,437,YIL147C,0.1239681837571189,2408,YKL185W,0.0170192131891419,964,YHR011W,0.0,1160,YMR307W,0.0352707128262401,1268,YPR175W,0.0125673460385391,1692,YPL016W,0.0279810514593264,1699,YGR213C,-0.0,953,YHR011W,0.0,1127,YPR119W,0.0,415
41,YPR165W,0.0151357268162402,125,YHR011W,0.0,1160,YHR110W,0.019784947242999,456,YOR254C,0.1192301624693387,791,YDR511W,0.0166434575011702,388,YHR011W,0.0,1160,YDR524C,0.0280061143519614,1196,YFR004W,0.0111135181601216,758,YKL092C,0.0278969247138712,2684,YGR213C,-0.0,256,YGR213C,-0.0,921,YPR119W,-0.0,70
42,YGL232W,0.0150197104583281,846,YHR011W,-0.0,1160,YDR067C,0.0196047628795958,371,YOR148C,0.1177460632070872,62,YOR148C,0.0159538261494962,62,YHR011W,-0.0,192,YLR121C,0.0268676634884874,1342,YOR183W,0.0096208196423282,44,YBR297W,0.0278217218675061,1162,YGR213C,0.0,256,YGR213C,-0.0,821,YPR119W,0.0,70
43,YHR199C,0.0147052182379555,497,YHR011W,-0.0,1160,YOR053W,0.0170026270124366,279,YGL042C,0.1132051264994886,141,YCR108C,0.0158163893883973,179,YHR011W,0.0,192,YJL090C,0.0140460964561103,448,YOR267C,1.2464795396978028e-16,2614,YOL051W,0.0270531973857888,3924,YGR213C,0.0,256,YGR213C,-0.0,50,YPR119W,-0.0,167
44,YJL035C,0.0147028018548606,9,YHR011W,0.0,1045,YHR071W,0.0167369485603543,252,YDR397C,0.1088574182372014,328,YLR306W,0.0155141578330722,56,YHR011W,-0.0,192,YMR027W,0.0058191927648347,208,YCR106W,0.0,1091,YER187W,0.0269568416314165,25,YGR213C,-0.0,256,YGR213C,0.0,50,YPR119W,0.0,167
45,YNL096C,0.014678160892549,425,YHR011W,-0.0,1045,YNL110C,0.0096788508256971,221,YCL008C,0.0952241352978525,96,YMR269W,0.0154990671980104,129,YHR011W,0.0,1193,YPR132W,0.0018960199305004,192,YCR106W,-0.0,1091,YEL074W,0.026835451373955,243,YGR213C,-0.0,328,YGR213C,0.0,50,YPR119W,0.0,167
46,YBR093C,0.0144647790393479,301,YBR197C,-0.0,563,YJL175W,0.0073451839595727,69,YGL246C,0.0804134280072007,578,YDR113C,0.0152171687281162,642,YHR011W,0.0,1193,YGR213C,0.0,535,YDL145C,-0.0,3102,YKL018W,0.0268066524240388,770,YGR213C,0.0,328,YGR213C,0.0,86,YPR119W,-0.0,170
47,YFL067W,0.0143798165193292,580,YHR011W,0.0,782,YOL128C,0.0064737501191988,138,YHL040C,0.0657915751021904,1213,YMR164C,0.0151667249280617,1296,YHR011W,-0.0,1193,YGR213C,-0.0,590,YDL145C,-0.0,2854,YDL248W,0.0267429868822384,395,YGR213C,0.0,341,YGR213C,-0.0,86,YPR119W,0.0,170
48,YFR016C,0.013987510224746,1544,YGR213C,-0.0,50,YOL130W,0.0051582548903222,566,YPL016W,0.0461484895167507,1535,YFR016C,0.0150292628406795,3042,YHR011W,0.0,334,YGR213C,0.0,590,YDL145C,0.0,2854,YDL048C,0.026681275780715,647,YGR213C,-0.0,341,YGR213C,-0.0,86,YPR119W,-0.0,415
49,YBR150C,0.0139194511278745,2067,YHR061C,0.0,653,YKL216W,0.0023241270610865,384,YDR396W,0.042549675434945,252,YKL202W,0.0147943585143456,265,YHR011W,-0.0,334,YGR213C,0.0,590,YDL145C,-0.0,1823,YMR164C,0.0262335324355222,1152,YGR213C,0.0,341,YGR213C,0.0,921,YOL021C,0.0,686
