,filename,phenotype,r2_LinearRegression,r2_Ridge,r2_Lasso,r2_RandomForestRegressor,r2_SVR,MAE_LinearRegression,MAE_Ridge,MAE_Lasso,MAE_RandomForestRegressor,MAE_SVR,MSE_LinearRegression,MSE_Ridge,MSE_Lasso,MSE_RandomForestRegressor,MSE_SVR,RMSE_LinearRegression,RMSE_Ridge,RMSE_Lasso,RMSE_RandomForestRegressor,RMSE_SVR
24,YNL212W,SM300-Efficiency,0.18126033597164137,0.18882158654193715,-0.003480663932635464,-0.36736180672204055,-0.042553245612989565,0.13642666001665185,0.13563140107869195,0.1489875512758117,0.1598864842105264,0.1543281451668268,0.030165671127067698,0.029887084162206794,0.03697227460756676,0.05037912340822112,0.0384118660929186,0.030165671127067698,0.029887084162206794,0.03697227460756676,0.05037912340822112,0.0384118660929186
25,YDR216W,SM300-Efficiency,-0.07436483815482675,0.41835201313228787,-0.003480663932635464,0.3628835187785229,-0.02329768760425921,0.14155885747400343,0.11447146858023374,0.1489875512758117,0.12065731578947367,0.15255503854067778,0.03958393345548392,0.021430257570817606,0.03697227460756676,0.023473940602315793,0.03770241367992372,0.03958393345548392,0.021430257570817606,0.03697227460756676,0.023473940602315793,0.03770241367992372
26,YNL274C,SM300-Efficiency,0.17595887955252476,0.25893777040769395,-0.003480663932635464,0.03173526954203432,-0.046716409399516934,0.13307541729279002,0.12870524345446763,0.1489875512758117,0.14951534736842118,0.15477457039480785,0.030360998161850287,0.02730372117625749,0.03697227460756676,0.03567477759563161,0.03856525383648363,0.030360998161850287,0.02730372117625749,0.03697227460756676,0.03567477759563161,0.03856525383648363
27,YDR156W,SM300-Efficiency,0.09178544944686129,0.09368255357900324,-0.003480663932635464,-0.19716080898017285,-0.04314275694580627,0.14195011218665135,0.14225645927731087,0.1489875512758117,0.16075008947368424,0.15434996511406968,0.03346228679090187,0.03339238982382149,0.03697227460756676,0.044108232245921045,0.03843358606786636,0.03346228679090187,0.03339238982382149,0.03697227460756676,0.044108232245921045,0.03843358606786636
28,YMR168C,SM300-Efficiency,0.25376843446409103,0.26964011048938674,-0.003480663932635464,0.21015449712501455,-0.03251247680397662,0.12952480893859808,0.12824728983551964,0.1489875512758117,0.13337539473684212,0.15331285389431254,0.02749418035989203,0.026909403806062028,0.03697227460756676,0.029101093702594758,0.03804192367646678,0.02749418035989203,0.026909403806062028,0.03697227460756676,0.029101093702594758,0.03804192367646678
29,YNL086W,SM300-Efficiency,0.17981783577138133,0.1909854960472015,-0.003480663932635464,0.13830195397030687,-0.0381096603309774,0.13763885879426316,0.136823330653783,0.1489875512758117,0.13865115263157904,0.15383651844682084,0.03021881865192032,0.029807357009178234,0.03697227460756676,0.03174843116733163,0.038248146490544956,0.03021881865192032,0.029807357009178234,0.03697227460756676,0.03174843116733163,0.038248146490544956
30,YHR083W,SM300-Efficiency,0.26338996964468253,0.2683507447403214,-0.003480663932635464,0.16459931066251499,-0.03645892418536478,0.13019274771880152,0.1294361151124783,0.1489875512758117,0.13404060526315792,0.15361219087700434,0.027139684201043197,0.026956909240155015,0.03697227460756676,0.030779530491889494,0.03818732671366849,0.027139684201043197,0.026956909240155015,0.03697227460756676,0.030779530491889494,0.03818732671366849
31,YHR151C,SM300-Efficiency,0.2534818444230085,0.2831217905824772,-0.003480663932635464,-0.09447401442837,-0.03799476250697209,0.12961121370194081,0.12864755785855167,0.1489875512758117,0.1467630368421053,0.1539297083737533,0.02750473949279766,0.026412684341015544,0.03697227460756676,0.04032483660792107,0.03824391319133589,0.02750473949279766,0.026412684341015544,0.03697227460756676,0.04032483660792107,0.03824391319133589
32,YOR361C,SM300-Efficiency,0.3767197020270612,0.39886420798895694,-0.003480663932635464,0.36880433024686754,-0.03163674030583907,0.12203611429087008,0.12013582066665228,0.1489875512758117,0.11888642105263161,0.15320430420139589,0.022964159811342914,0.02214826690488321,0.03697227460756676,0.023255794029715803,0.03800965801210796,0.022964159811342914,0.02214826690488321,0.03697227460756676,0.023255794029715803,0.03800965801210796
33,YIL121W,SM300-Efficiency,0.2512373668654917,0.2554148567283573,-0.003480663932635464,-0.10091504373722882,-0.03393263661126533,0.13142573766063545,0.13021465936976895,0.1489875512758117,0.14645235789473685,0.1533682781928644,0.02758743509779499,0.027433519523801866,0.03697227460756676,0.040562150103757896,0.03809424809114552,0.02758743509779499,0.027433519523801866,0.03697227460756676,0.040562150103757896,0.03809424809114552
