,SM300-Efficiency_filenames,SM300-Efficiency_importance,SM300-Efficiency_original_index,SM300-Rate_filenames,SM300-Rate_importance,SM300-Rate_original_index,SM300-Lag_filenames,SM300-Lag_importance,SM300-Lag_original_index,SM300-AUC_filenames,SM300-AUC_importance,SM300-AUC_original_index,SM60-Efficiency_filenames,SM60-Efficiency_importance,SM60-Efficiency_original_index,SM60-Rate_filenames,SM60-Rate_importance,SM60-Rate_original_index,SM60-Lag_filenames,SM60-Lag_importance,SM60-Lag_original_index,SM60-AUC_filenames,SM60-AUC_importance,SM60-AUC_original_index,Ratio-Efficiency_filenames,Ratio-Efficiency_importance,Ratio-Efficiency_original_index,Ratio-Rate_filenames,Ratio-Rate_importance,Ratio-Rate_original_index,Ratio-Lag_filenames,Ratio-Lag_importance,Ratio-Lag_original_index,Ratio-AUC_filenames,Ratio-AUC_importance,Ratio-AUC_original_index
16,YHR211W,0.0190584606487509,155,YOL150C,0.0003234852019404,149,YGL115W,0.0605591813286873,309,YBR197C,-0.0,139,YAR050W,0.0238432929593523,4370,YBR197C,-0.0,212,YDL185W,0.0710655183760087,2005,YOR168W,0.4542774730810558,373,YLR117C,0.0415708016989911,675,YML118W,0.038933361715034,652,YGR213C,-0.0,50,YHR061C,0.0,361
17,YBR150C,0.0189127633983176,1421,YBR250W,0.000276952317329,119,YKL032C,0.0506944497354151,116,YBR197C,0.0,143,YOR388C,0.0237935853736071,129,YBR197C,-0.0,212,YKR031C,0.0593207267526643,878,YHR211W,0.4500969315208142,412,YNL331C,0.0401755185894634,371,YPR022C,0.038297918761515,654,YGR213C,-0.0,26,YHR061C,-0.0,361
18,YOR053W,0.0184019060958997,132,YKL007W,0.0002140393339258,360,YLR116W,0.0387448202401761,465,YBR197C,-0.0,139,YIL130W,0.0229407360838606,1951,YBR197C,-0.0,212,YER035W,0.0502425370939558,140,YBR301W,0.4436633838457053,260,YNR072W,0.0400798071355473,854,YDR544C,0.0378477710305755,434,YGR213C,0.0,26,YHR061C,-0.0,316
19,YNR070W,0.0182134104428284,187,YDL180W,5.2989253854409726e-05,50,YOR149C,0.031451227918714,65,YBR197C,0.0,143,YFL048C,0.0222556677994211,362,YBR197C,-0.0,212,YHR043C,0.0499322707960692,451,YOL099C,0.4109677483737157,192,YOR267C,0.0393495203296289,2569,YBR297W,0.037747084175841,880,YGR213C,0.0,26,YHR061C,0.0,316
20,YBR112C,0.0181208646744709,1817,YJR131W,4.7174243503599917e-17,42,YNL184C,0.0297807999021607,2,YBR197C,-0.0,118,YNL018C,0.0211321744688242,594,YBR197C,0.0,188,YEL016C,0.0453820118649774,603,YLR279W,0.3937241064945531,142,YBR297W,0.0392492704803194,890,YLL008W,0.0370312007928702,545,YHR011W,0.0,461,YHR061C,-0.0,316
21,YEL023C,0.0180247988727895,721,YNL007C,1.7143925388177508e-18,586,YHR117W,0.029051283121592,203,YBR197C,0.0,143,YBR112C,0.020218390161169,1774,YBR197C,-0.0,158,YML029W,0.0324666781442615,838,YIL031W,0.3735253581122904,1033,YIL107C,0.0382075657742566,722,YIL130W,0.0359317791614356,2612,YHR011W,-0.0,461,YHR061C,0.0,272
22,YBR218C,0.0177752916136642,1370,YBR197C,0.0,168,YIL126W,0.0232399867922629,333,YBR197C,0.0,139,YNL017C,0.0200113335850245,337,YBR197C,0.0,188,YHR043C,0.0270804366925301,367,YAR042W,0.3451254588720812,1563,YAR023C,0.0371259156154213,190,YLR117C,0.0341142710505474,675,YHR011W,0.0,457,YHR061C,0.0,272
23,YLR429W,0.0176345676833222,585,YBR197C,-0.0,143,YJL013C,0.0146200966365905,197,YBR197C,-0.0,110,YDR520C,0.0192754213249554,435,YBR197C,-0.0,158,YNL277W,0.014475041065261,77,YMR301C,0.3406927166956514,500,YOR101W,0.0361207593021039,607,YPL190C,0.0335211332622688,739,YHR011W,-0.0,457,YHR061C,-0.0,272
24,YDR402C,0.0175321855667294,484,YBR197C,0.0,212,YMR027W,0.0097409395509225,187,YBR197C,-0.0,118,YGR095C,0.0181183793275369,3,YBR197C,0.0,158,YOR219C,0.0117566232253163,252,YGR059W,0.3022243266911106,659,YBR298C,0.0356705879677549,109,YHR211W,0.0327901304895374,3615,YHR011W,-0.0,445,YHR061C,0.0,248
25,YJR079W,0.0162941482368966,50,YBR197C,-0.0,143,YHR135C,8.889381959359678e-16,662,YBR197C,0.0,118,YNL247W,0.0181037038880455,1284,YBR197C,0.0,215,YHR011W,-0.0,457,YDR299W,0.2807787119194772,303,YNR044W,0.0353613818718472,946,YMR173W,0.0317033020303364,2576,YHR011W,0.0,445,YHR061C,-0.0,248
26,YPR199C,0.0162198783916554,293,YBR197C,0.0,143,YGR214W,1.6156230582231754e-16,189,YBR197C,0.0,110,YMR247C,0.0179836388202393,2,YBR197C,-0.0,143,YGR213C,0.0,26,YDR195W,0.2776285195732901,803,YNL208W,0.0332074771859964,465,YDR423C,0.0302874685677456,462,YHR011W,0.0,445,YHR061C,0.0,218
27,YKR047W,0.0162042286309499,36,YBR197C,-0.0,143,YHR011W,-0.0,73,YBR197C,-0.0,143,YMR317W,0.0176387848573267,333,YBR197C,-0.0,143,YHR011W,0.0,233,YPL201C,0.2686205209724548,299,YGR210C,0.032812532652641,742,YNL179C,0.0299294332367325,180,YHR011W,0.0,343,YHR061C,-0.0,218
28,YKL030W,0.0155554714364215,67,YBR197C,-0.0,143,YHR011W,0.0,73,YBR197C,0.0,110,YMR273C,0.0173333596600579,2530,YBR197C,-0.0,143,YHR011W,0.0,509,YJR072C,0.2683914326760876,368,YNR053C,0.0323393298584161,460,YNL236W,0.0295802193041951,1361,YHR011W,-0.0,343,YHR061C,0.0,182
29,YNR044W,0.0154332130976955,628,YBR197C,0.0,212,YHR011W,-0.0,355,YBR197C,0.0,81,YOL155C,0.0157541665399593,565,YBR197C,0.0,143,YGR213C,0.0,26,YHR043C,0.2486018532229838,367,YKL014C,0.0313301356057442,2373,YGR279C,0.0269791169736597,15,YHR011W,-0.0,341,YHR061C,-0.0,182
30,YJR023C,0.0152051308453645,76,YBR197C,-0.0,202,YHR011W,0.0,341,YBR197C,-0.0,81,YPL201C,0.0149578968919667,299,YBR197C,0.0,143,YHR011W,-0.0,509,YPL097W,0.2417415529078577,45,YLR032W,0.0313040262227899,183,YIR019C,0.0248743220765447,207,YHR011W,-0.0,341,YHR061C,0.0,182
31,YPR022C,0.0147942206189956,920,YBR197C,-0.0,202,YHR011W,0.0,355,YBR197C,-0.0,81,YJL008C,0.0148979984956059,251,YBR197C,0.0,143,YHR011W,0.0,457,YDL158C,0.2101028747308492,84,YJL095W,0.0299880801611328,323,YKL202W,0.0239187195371351,440,YGR213C,-0.0,335,YOL021C,0.0,670
